Schritte,Strecke,Schlaf
8184,6.32,408
7107,5.49,461
9736,7.52,341
9639,7.44,158
8372,6.46,500
6821,5.27,288
8957,6.91,377
6832,5.27,435
6989,5.4,455
11521,8.85,367
3609,2.79,446
9139,7.04,415
6002,4.63,391
9075,7.01,384
8777,6.78,450
6236,4.81,444
16304,12.59,455
10188,7.87,549
8711,6.72,429
6594,5.09,398
9085,7.01,412
8161,6.3,413
6426,4.96,420
16093,12.42,406
12602,9.73,455
6813,5.26,417
8227,6.35,390
12009,9.27,367
16249,12.54,414
8389,6.48,442
8789,6.79,361
9909,7.65,362
10823,8.36,455
9337,7.21,315
10784,8.33,693
14566,11.24,526
2592,2,395
6555,5.06,104
15165,11.71,462
2242,1.73,105
15096,11.65,536
7038,5.43,457
12831,9.89,460
10399,8.03,475
11239,8.68,457
8098,6.25,366
7961,6.15,391
16090,12.42,405
8847,6.83,564
7157,5.53,358
8510,6.57,494
7715,5.96,415
8816,6.81,425
5642,4.36,441
8539,6.59,490
7026,5.42,499
8337,6.44,345
6700,5.17,367
6340,4.89,375
10146,7.83,379
15680,12.1,429
7850,6.06,504
7294,5.63,399
7002,5.41,435
5851,4.52,383
7586,5.86,395
11196,8.64,377
10173,7.85,530
8438,6.51,568
7813,6.03,360
5709,4.41,428
6638,5.12,443
8271,6.39,455
7110,5.49,412
10965,8.46,526
6977,5.39,638
10510,8.11,299
7216,5.57,405
10204,7.88,420
6642,5.13,409
8418,6.5,389
7499,5.79,472
9615,7.42,569
3281,2.53,420
8419,6.5,415
10731,8.28,412
4139,3.2,435
4466,3.45,544
14436,11.14,395
7356,5.68,522
10397,8.03,382
9353,7.22,402
8724,6.73,427
11404,8.8,404
11840,9.14,414
7536,5.82,405
9471,7.31,430
8988,6.94,419
11782,9.1,490
8672,6.67,448
11077,8.55,352
8802,6.8,507
13011,10.04,397
12845,9.89,399
7420,5.73,421
10757,8.3,546
13373,10.32,385
2852,2.2,485
9197,7.1,323
9499,7.33,399
8741,6.75,412
8696,6.71,469
9251,7.14,411
7715,5.96,412
10950,8.63,384
11231,8.67,523
8157,6.3,307
8258,6.38,380
9544,7.37,401
9500,7.33,404
12894,9.95,480
7707,5.95,362
9462,7.21,459
15360,11.94,303
11942,9.22,396
20725,16,420
25704,19.84,502
16318,12.6,420
18585,14.35,589
18737,14.46,466
24890,19.22,161
14193,10.96,338
19583,15.12,336
13617,10.51,280
15575,12.02,383
10982,8.48,450
6668,5.15,451
6764,5.22,485
11051,8.53,496
23886,18.44,292
9324,7.18,398
9361,7.23,493
7725,5.96,452
9316,7.19,747
10848,8.37,350
9878,7.63,462
8814,6.8,420
10076,7.78,410
11186,8.63,460
11106,8.57,408
3329,2.57,472
11581,8.94,371
15577,12.03,415
13889,10.72,524
8538,6.59,398
11083,8.56,298
7867,6.07,403
6955,5.37,364
6717,5.19,474
15527,11.99,599
14715,11.48,444
8710,6.72,403
9804,7.57,407
12430,9.6,459
9988,7.71,433
9086,7.01,386
12946,9.99,524
10312,7.95,367
11005,8.5,392
6490,5.01,430
7941,6.13,497
7980,6.16,458
9290,7.17,452
16764,12.94,327
10580,8.17,433
7842,6.05,408
8583,6.63,411
6371,4.92,418
9472,7.31,393
7429,5.74,425
11034,8.52,511
8398,6.48,446
12031,9.28,422
11983,9.25,408
8987,6.94,521
11325,8.8,350
12568,9.7,420
11055,8.53,404
8817,6.81,366
10322,7.97,390
7290,5.63,427
11643,8.99,402
10293,7.95,518
7376,5.69,493
10208,7.88,402
10813,8.35,397
13657,10.54,362
