location,date,new_cases,population,population_density,median_age,hospital_beds_per_thousand,life_expectancy,human_development_index,new_deaths
Afghanistan,2020-02-24,5,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-02-25,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-02-26,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-02-27,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-02-28,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-02-29,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-01,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-02,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-03,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-04,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-05,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-06,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-07,3,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-08,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-09,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-10,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-11,3,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-12,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-13,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-14,3,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-15,6,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-16,5,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-17,1,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-18,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-19,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-20,-2,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-21,0,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-22,10,39835428,54.422,18.6,0.5,64.83,0.511,
Afghanistan,2020-03-23,6,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-03-24,2,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-03-25,32,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-03-26,6,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-03-27,11,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-03-28,15,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-03-29,8,39835428,54.422,18.6,0.5,64.83,0.511,2
Afghanistan,2020-03-30,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-03-31,52,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-01,26,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-02,43,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-03,34,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-04-04,1,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-05,29,39835428,54.422,18.6,0.5,64.83,0.511,2
Afghanistan,2020-04-06,38,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-07,30,39835428,54.422,18.6,0.5,64.83,0.511,4
Afghanistan,2020-04-08,56,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-09,21,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-04-10,77,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-11,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-12,34,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-13,52,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-04-14,58,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-15,105,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-16,24,39835428,54.422,18.6,0.5,64.83,0.511,4
Afghanistan,2020-04-17,51,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-04-18,63,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-19,25,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-20,63,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-21,30,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-22,66,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-23,84,39835428,54.422,18.6,0.5,64.83,0.511,4
Afghanistan,2020-04-24,50,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-25,104,39835428,54.422,18.6,0.5,64.83,0.511,3
Afghanistan,2020-04-26,133,39835428,54.422,18.6,0.5,64.83,0.511,6
Afghanistan,2020-04-27,68,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-04-28,172,39835428,54.422,18.6,0.5,64.83,0.511,10
Afghanistan,2020-04-29,124,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-04-30,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-05-01,344,39835428,54.422,18.6,0.5,64.83,0.511,4
Afghanistan,2020-05-02,298,39835428,54.422,18.6,0.5,64.83,0.511,8
Afghanistan,2020-05-03,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-05-04,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-05-05,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-05-06,755,39835428,54.422,18.6,0.5,64.83,0.511,23
Afghanistan,2020-05-07,168,39835428,54.422,18.6,0.5,64.83,0.511,9
Afghanistan,2020-05-08,171,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-05-09,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-05-10,839,39835428,54.422,18.6,0.5,64.83,0.511,14
Afghanistan,2020-05-11,262,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-05-12,303,39835428,54.422,18.6,0.5,64.83,0.511,7
Afghanistan,2020-05-13,0,39835428,54.422,18.6,0.5,64.83,0.511,0
Afghanistan,2020-05-14,372,39835428,54.422,18.6,0.5,64.83,0.511,9
Afghanistan,2020-05-15,714,39835428,54.422,18.6,0.5,64.83,0.511,17
Afghanistan,2020-05-16,349,39835428,54.422,18.6,0.5,64.83,0.511,15
Afghanistan,2020-05-17,233,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-05-18,437,39835428,54.422,18.6,0.5,64.83,0.511,4
Afghanistan,2020-05-19,583,39835428,54.422,18.6,0.5,64.83,0.511,4
Afghanistan,2020-05-20,490,39835428,54.422,18.6,0.5,64.83,0.511,10
Afghanistan,2020-05-21,531,39835428,54.422,18.6,0.5,64.83,0.511,6
Afghanistan,2020-05-22,540,39835428,54.422,18.6,0.5,64.83,0.511,12
Afghanistan,2020-05-23,736,39835428,54.422,18.6,0.5,64.83,0.511,10
Afghanistan,2020-05-24,716,39835428,54.422,18.6,0.5,64.83,0.511,7
Afghanistan,2020-05-25,512,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-05-26,737,39835428,54.422,18.6,0.5,64.83,0.511,1
Afghanistan,2020-05-27,548,39835428,54.422,18.6,0.5,64.83,0.511,6
Afghanistan,2020-05-28,637,39835428,54.422,18.6,0.5,64.83,0.511,9
Afghanistan,2020-05-29,643,39835428,54.422,18.6,0.5,64.83,0.511,11
